"O.NET.SOC.Code","Element.ID","Element.Name","Data.Value","occupation_mean","skill_mean","rca","effective_use"
"11-3031.03","2.C.6","Education and Training",2.56,2.63011299435028,2.99926470588235,0.897542527546502,FALSE
"11-3031.03","2.C.7.a","English Language",4.36,2.63011299435028,3.66367647058824,1.25140890522449,TRUE
"11-3031.03","2.C.7.b","Foreign Language",1.23,2.63011299435028,1.66191176470588,0.778264133658402,FALSE
"11-3031.03","2.C.7.c","Fine Arts",1.13,2.63011299435028,1.16147058823529,1.02305761890477,TRUE
"11-3031.03","2.C.7.d","History and Archeology",2.09,2.63011299435028,1.31720588235294,1.66848571146606,TRUE
"11-3031.03","2.C.7.e","Philosophy and Theology",1.23,2.63011299435028,1.5575,0.83043744447867,FALSE
"11-3031.03","2.C.8.a","Public Safety and Security",1.41,2.63011299435028,2.80867647058824,0.527894653915298,FALSE
"11-3031.03","2.C.8.b","Law and Government",3.14,2.63011299435028,2.42441176470588,1.36192481326097,TRUE
"11-3031.03","2.C.9.a","Telecommunications",1.89,2.63011299435028,2.07720588235294,0.956780086150376,FALSE
"11-3031.03","2.C.9.b","Communications and Media",2.54,2.63011299435028,2.18676470588235,1.22141015933007,TRUE
"11-3031.03","4.A.1.a.1","Getting Information",4.84,2.63011299435028,4.26205882352941,1.19414149394809,TRUE
"11-3031.03","4.A.1.a.2","Monitoring Processes, Materials, or Surroundings",2.97,2.63011299435028,3.71411764705882,0.840873489103663,FALSE
"11-3031.03","4.A.1.b.1","Identifying Objects, Actions, and Events",4.38,2.63011299435028,3.90808823529412,1.17852721866154,TRUE
"11-3031.03","4.A.1.b.2","Inspecting Equipment, Structures, or Materials",1.76,2.63011299435028,3.39470588235294,0.545180585964358,FALSE
"11-3031.03","4.A.1.b.3","Estimating the Quantifiable Characteristics of Products, Events, or Information",3.77,2.63011299435028,3.16132352941176,1.25401367836032,TRUE
"11-3031.03","4.A.2.a.1","Judging the Qualities of Objects, Services, or People",3.68,2.63011299435028,3.37911764705882,1.14518163170791,TRUE
"11-3031.03","4.A.2.a.2","Processing Information",4.45,2.63011299435028,3.68088235294118,1.27127041814562,TRUE
"11-3031.03","4.A.2.a.3","Evaluating Information to Determine Compliance with Standards",3.48,2.63011299435028,3.6875,0.992377895619422,FALSE
"11-3031.03","4.A.2.a.4","Analyzing Data or Information",4.75,2.63011299435028,3.44852941176471,1.44840342291156,TRUE
"11-3031.03","4.A.2.b.1","Making Decisions and Solving Problems",4.49,2.63011299435028,3.98882352941176,1.18367202943262,TRUE
"11-3031.03","4.A.2.b.2","Thinking Creatively",3.73,2.63011299435028,3.25882352941176,1.20358801821147,TRUE
"11-3031.03","4.A.2.b.3","Updating and Using Relevant Knowledge",3.96,2.63011299435028,3.88014705882353,1.07319061794212,TRUE
"11-3031.03","4.A.2.b.4","Developing Objectives and Strategies",3.6,2.63011299435028,2.98147058823529,1.2697021018592,TRUE
"11-3031.03","4.A.2.b.5","Scheduling Work and Activities",2.76,2.63011299435028,3.095,0.937731048657147,FALSE
"11-3031.03","4.A.2.b.6","Organizing, Planning, and Prioritizing Work",4.01,2.63011299435028,3.65705882352941,1.15303447822843,TRUE
"11-3031.03","4.A.3.a.1","Performing General Physical Activities",1.2,2.63011299435028,3.06117647058824,0.412214008664704,FALSE
"11-3031.03","4.A.3.a.2","Handling and Moving Objects",1.16,2.63011299435028,3.06470588235294,0.398014647035461,FALSE
"11-3031.03","4.A.3.a.3","Controlling Machines and Processes",1.25,2.63011299435028,2.97294117647059,0.442133644368141,FALSE
"11-3031.03","4.A.3.a.4","Operating Vehicles, Mechanized Devices, or Equipment",1.14,2.63011299435028,2.42044117647059,0.495267905957,FALSE
"11-3031.03","4.A.3.b.1","Working with Computers",4.43,2.63011299435028,3.55235294117647,1.31134657170526,TRUE
"11-3031.03","4.A.3.b.2","Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",1.06,2.63011299435028,2.08632352941176,0.534261742712011,FALSE
"11-3031.03","4.A.3.b.4","Repairing and Maintaining Mechanical Equipment",1,2.63011299435028,2.22647058823529,0.472294518073783,FALSE
"11-3031.03","4.A.3.b.5","Repairing and Maintaining Electronic Equipment",1.06,2.63011299435028,2.17941176470588,0.511442060988886,FALSE
"11-3031.03","4.A.3.b.6","Documenting/Recording Information",3.27,2.63011299435028,3.67279411764706,0.936226728404133,FALSE
"11-3031.03","4.A.4.a.1","Interpreting the Meaning of Information for Others",3.73,2.63011299435028,3.3325,1.17697853067236,TRUE
"11-3031.03","4.A.4.a.2","Communicating with Supervisors, Peers, or Subordinates",4.21,2.63011299435028,4.02235294117647,1.10060577673706,TRUE
"11-3031.03","4.A.4.a.3","Communicating with People Outside the Organization",4.04,2.63011299435028,3.21470588235294,1.32150858072707,TRUE
"11-3031.03","4.A.4.a.4","Establishing and Maintaining Interpersonal Relationships",3.73,2.63011299435028,3.70014705882353,1.06003380165996,TRUE
"11-3031.03","4.A.4.a.5","Assisting and Caring for Others",1.82,2.63011299435028,3.27073529411765,0.585134705571668,FALSE
"11-3031.03","4.A.4.a.6","Selling or Influencing Others",3.11,2.63011299435028,2.43367647058824,1.3437776482755,TRUE
"11-3031.03","4.A.4.a.7","Resolving Conflicts and Negotiating with Others",2.61,2.63011299435028,3.00411764705882,0.913594419399489,FALSE
"11-3031.03","4.A.4.a.8","Performing for or Working Directly with the Public",2.02,2.63011299435028,3.07220588235294,0.691402459783969,FALSE
"11-3031.03","4.A.4.b.1","Coordinating the Work and Activities of Others",2.65,2.63011299435028,3.16235294117647,0.881181564343296,FALSE
"11-3031.03","4.A.4.b.2","Developing and Building Teams",3.13,2.63011299435028,3.08117647058824,1.06821244183773,TRUE
"11-3031.03","4.A.4.b.3","Training and Teaching Others",3.1,2.63011299435028,3.31088235294118,0.984572750789506,FALSE
"11-3031.03","4.A.4.b.4","Guiding, Directing, and Motivating Subordinates",2.77,2.63011299435028,2.86441176470588,1.01689049389438,TRUE
"11-3031.03","4.A.4.b.5","Coaching and Developing Others",3.08,2.63011299435028,2.97632352941176,1.08817926435111,TRUE
"11-3031.03","4.A.4.b.6","Providing Consultation and Advice to Others",2.92,2.63011299435028,2.92205882352941,1.05080895272372,TRUE
"11-3031.03","4.A.4.c.1","Performing Administrative Activities",2.07,2.63011299435028,2.77970588235294,0.78307140712775,FALSE
"11-3031.03","4.A.4.c.2","Staffing Organizational Units",1.99,2.63011299435028,2.12044117647059,0.986862654638864,FALSE
"11-3031.03","4.A.4.c.3","Monitoring and Controlling Resources",2.21,2.63011299435028,2.54529411764706,0.913028148719548,FALSE
"11-3051.02","1.A.1.a.1","Oral Comprehension",4.12,3.1328813559322,3.78529411764706,0.960855127673805,FALSE
"11-3051.02","1.A.1.a.2","Written Comprehension",3.62,3.1328813559322,3.53823529411765,0.903196375671783,FALSE
"11-3051.02","1.A.1.a.3","Oral Expression",4.12,3.1328813559322,3.71147058823529,0.979967152164345,FALSE
"11-3051.02","1.A.1.a.4","Written Expression",3.62,3.1328813559322,3.28455882352941,0.972952979568529,FALSE
"11-3051.02","1.A.1.b.1","Fluency of Ideas",3,3.1328813559322,2.83308823529412,0.934805975912998,FALSE
"11-3051.02","1.A.1.b.2","Originality",2.88,3.1328813559322,2.74073529411765,0.927653358422779,FALSE
"11-3051.02","1.A.1.b.3","Problem Sensitivity",4,3.1328813559322,3.69691176470588,0.955171228023597,FALSE
"11-3051.02","1.A.1.b.4","Deductive Reasoning",4,3.1328813559322,3.55852941176471,0.99231546000848,FALSE
"11-3051.02","1.A.1.b.5","Inductive Reasoning",3.88,3.1328813559322,3.49088235294118,0.981198416726204,FALSE
"11-3051.02","1.A.1.b.6","Information Ordering",3.5,3.1328813559322,3.44485294117647,0.896928209759853,FALSE
"11-3051.02","1.A.1.b.7","Category Flexibility",3.25,3.1328813559322,3.13044117647059,0.916511965978965,FALSE
"11-3051.02","1.A.1.c.1","Mathematical Reasoning",3.25,3.1328813559322,2.66205882352941,1.077769871826,TRUE
"11-3051.02","1.A.1.c.2","Number Facility",3.12,3.1328813559322,2.6025,1.05833749285203,TRUE
"11-3051.02","1.A.1.d.1","Memorization",2.5,3.1328813559322,2.445,0.902654332870399,FALSE
"11-3051.02","1.A.1.e.1","Speed of Closure",2.62,3.1328813559322,2.59588235294118,0.890997757950476,FALSE
"11-3051.02","1.A.1.e.2","Flexibility of Closure",3.12,3.1328813559322,2.99161764705882,0.920680264022143,FALSE
"11-3051.02","1.A.1.e.3","Perceptual Speed",3,3.1328813559322,2.91735294117647,0.90780507742534,FALSE
"11-3051.02","1.A.1.f.1","Spatial Orientation",2,3.1328813559322,1.53970588235294,1.1467072350184,TRUE
"11-3051.02","1.A.1.f.2","Visualization",3,3.1328813559322,2.78485294117647,0.950997366317996,FALSE
"11-3051.02","1.A.1.g.1","Selective Attention",3,3.1328813559322,3.10455882352941,0.853064143146412,FALSE
"11-3051.02","1.A.1.g.2","Time Sharing",2.75,3.1328813559322,2.7125,0.89500048967924,FALSE
"11-3051.02","1.A.2.a.1","Arm-Hand Steadiness",2.38,3.1328813559322,2.74102941176471,0.766520170248655,FALSE
"11-3051.02","1.A.2.a.2","Manual Dexterity",2.25,3.1328813559322,2.62735294117647,0.756004581018299,FALSE
"11-3051.02","1.A.2.a.3","Finger Dexterity",2.88,3.1328813559322,2.92308823529412,0.869782947171371,FALSE
"11-3051.02","1.A.2.b.1","Control Precision",2.62,3.1328813559322,2.59338235294118,0.891856672715725,FALSE
"11-3051.02","1.A.2.b.2","Multilimb Coordination",2.5,3.1328813559322,2.46794117647059,0.894263552514793,FALSE
"11-3051.02","1.A.2.b.3","Response Orientation",2,3.1328813559322,1.97014705882353,0.896172631980488,FALSE
"11-3051.02","1.A.2.b.4","Rate Control",2,3.1328813559322,1.9025,0.928037779287516,FALSE
"11-3051.02","1.A.2.c.1","Reaction Time",2.12,3.1328813559322,2.08764705882353,0.896476911501913,FALSE
"11-3051.02","1.A.2.c.2","Wrist-Finger Speed",1.25,3.1328813559322,1.81441176470588,0.608183293009533,FALSE
"11-3051.02","1.A.2.c.3","Speed of Limb Movement",1.62,3.1328813559322,1.70911764705882,0.836764760628162,FALSE
"11-3051.02","1.A.3.a.1","Static Strength",1.25,3.1328813559322,2.16529411764706,0.509628189972264,FALSE
"11-3051.02","1.A.3.a.2","Explosive Strength",1.12,3.1328813559322,1.19647058823529,0.826373384999982,FALSE
"11-3051.02","1.A.3.a.3","Dynamic Strength",1.25,3.1328813559322,1.82323529411765,0.605239995898663,FALSE
"11-3051.02","1.A.3.a.4","Trunk Strength",2.12,3.1328813559322,2.35308823529412,0.795349430390673,FALSE
"11-3051.02","1.A.3.b.1","Stamina",1.12,3.1328813559322,2.00823529411765,0.492338449059743,FALSE
"11-3051.02","1.A.3.c.1","Extent Flexibility",1.25,3.1328813559322,2.06588235294118,0.534151869956693,FALSE
"11-3051.02","1.A.3.c.2","Dynamic Flexibility",1.12,3.1328813559322,1.09338235294118,0.904287002065885,FALSE
"11-3051.02","1.A.3.c.3","Gross Body Coordination",1.25,3.1328813559322,1.875,0.5885306250315,FALSE
"11-3051.02","1.A.3.c.4","Gross Body Equilibrium",1.88,3.1328813559322,1.78132352941176,0.931698445108895,FALSE
"11-3051.02","1.A.4.a.1","Near Vision",3.38,3.1328813559322,3.62779411764706,0.822497135213669,FALSE
"11-3051.02","1.A.4.a.2","Far Vision",3.12,3.1328813559322,2.92132352941176,0.942834060458215,FALSE
"11-3051.02","1.A.4.a.3","Visual Color Discrimination",2.88,3.1328813559322,2.66235294117647,0.954964407916778,FALSE
"11-3051.02","1.A.4.a.4","Night Vision",1.5,3.1328813559322,1.35823529411765,0.974937046663269,FALSE
"11-3051.02","1.A.4.a.5","Peripheral Vision",1.75,3.1328813559322,1.40647058823529,1.09841819916481,TRUE
"11-3051.02","1.A.4.a.6","Depth Perception",2.38,3.1328813559322,2.31985294117647,0.905684275959727,FALSE
"11-3051.02","1.A.4.a.7","Glare Sensitivity",1.62,3.1328813559322,1.46264705882353,0.977767951741454,FALSE
"11-3051.02","1.A.4.b.1","Hearing Sensitivity",2.62,3.1328813559322,2.35397058823529,0.982563404969189,FALSE
"11-3051.02","1.A.4.b.2","Auditory Attention",2.5,3.1328813559322,2.41044117647059,0.915595811012339,FALSE
"11-3051.02","1.A.4.b.3","Sound Localization",1.62,3.1328813559322,1.38794117647059,1.03039627548427,TRUE
"11-3051.02","1.A.4.b.4","Speech Recognition",3.75,3.1328813559322,3.41382352941176,0.969729318835826,FALSE
"11-3051.02","1.A.4.b.5","Speech Clarity",3.5,3.1328813559322,3.42882352941176,0.901121260663259,FALSE
"11-3051.02","1.C.1.a","Achievement/Effort",4.14,3.1328813559322,3.88323529411765,0.941167584406202,FALSE
"11-3051.02","1.C.1.b","Persistence",3.95,3.1328813559322,3.91441176470588,0.890821958168124,FALSE
"11-3051.02","1.C.1.c","Initiative",4.21,3.1328813559322,4.04338235294118,0.919173744320883,FALSE
"11-3051.02","1.C.2.b","Leadership",4.48,3.1328813559322,3.72323529411765,1.06222827401214,TRUE
"11-3051.02","1.C.3.a","Cooperation",4.29,3.1328813559322,4.21367647058824,0.898786273344096,FALSE
"11-3051.02","1.C.3.b","Concern for Others",4.06,3.1328813559322,3.92838235294118,0.91237338538556,FALSE
"11-3051.02","1.C.3.c","Social Orientation",3.81,3.1328813559322,3.54838235294118,0.947883341621043,FALSE
"11-3051.02","1.C.4.a","Self-Control",4.15,3.1328813559322,4.14911764705882,0.882983673268001,FALSE
